Date,Ticker,Open,Close,Average
2022-01-03,NVDA,29.82,30.12,30.11
2022-01-04,NVDA,30.28,29.29,29.6
2022-01-05,NVDA,28.95,27.6,28.38
2022-01-06,NVDA,27.64,28.18,27.83
2022-01-07,NVDA,28.14,27.25,27.72
2022-01-10,NVDA,26.58,27.4,26.77
2022-01-11,NVDA,27.32,27.82,27.51
2022-01-12,NVDA,28.07,28.0,28.07
2022-01-13,NVDA,28.38,26.58,27.48
2022-01-14,NVDA,26.3,26.94,26.66
2022-01-18,NVDA,26.26,25.9,26.14
2022-01-19,NVDA,26.08,25.07,25.69
2022-01-20,NVDA,25.3,24.15,24.78
2022-01-21,NVDA,23.51,23.37,23.74
2022-01-24,NVDA,22.33,23.37,22.49
2022-01-25,NVDA,22.55,22.32,22.45
2022-01-26,NVDA,23.24,22.77,23.09
2022-01-27,NVDA,23.57,21.94,22.8
2022-01-28,NVDA,22.01,22.84,22.25
2022-01-31,NVDA,23.18,24.49,23.81
2022-02-01,NVDA,25.1,24.64,24.69
2022-02-02,NVDA,25.79,25.24,25.35
2022-02-03,NVDA,24.46,23.95,24.32
2022-02-04,NVDA,23.97,24.32,24.14
2022-02-07,NVDA,24.37,24.73,24.62
2022-02-08,NVDA,24.36,25.11,24.67
2022-02-09,NVDA,25.62,26.7,26.1
2022-02-10,NVDA,26.0,25.82,26.09
2022-02-11,NVDA,25.92,23.95,24.95
2022-02-14,NVDA,23.93,24.27,24.21
2022-02-15,NVDA,24.95,26.5,25.69
2022-02-16,NVDA,26.26,26.51,26.23
2022-02-17,NVDA,25.63,24.51,25.02
2022-02-18,NVDA,24.67,23.64,24.1
2022-02-22,NVDA,23.03,23.39,23.37
2022-02-23,NVDA,23.8,22.39,23.16
2022-02-24,NVDA,21.01,23.75,22.36
2022-02-25,NVDA,23.72,24.16,23.87
2022-02-28,NVDA,23.99,24.39,24.19
2022-03-01,NVDA,24.29,23.48,23.82
2022-03-02,NVDA,23.76,24.22,23.95
2022-03-03,NVDA,24.26,23.71,23.94
2022-03-04,NVDA,23.38,22.94,23.12
2022-03-07,NVDA,22.82,21.35,22.13
2022-03-08,NVDA,21.31,21.51,21.46
2022-03-09,NVDA,22.39,23.01,22.72
2022-03-10,NVDA,22.53,22.66,22.46
2022-03-11,NVDA,23.02,22.1,22.58
2022-03-14,NVDA,21.87,21.33,21.65
2022-03-15,NVDA,21.52,22.97,22.21
2022-03-16,NVDA,23.5,24.5,23.94
2022-03-17,NVDA,24.12,24.77,24.41
2022-03-18,NVDA,24.8,26.45,25.61
2022-03-21,NVDA,26.51,26.73,26.59
2022-03-22,NVDA,26.73,26.52,26.64
2022-03-23,NVDA,26.13,25.63,25.99
2022-03-24,NVDA,26.17,28.15,27.14
2022-03-25,NVDA,27.89,27.69,27.8
2022-03-28,NVDA,27.76,28.22,27.86
2022-03-29,NVDA,28.69,28.66,28.57
2022-03-30,NVDA,28.3,27.69,28.0
2022-03-31,NVDA,27.78,27.29,27.65
2022-04-01,NVDA,27.38,26.71,26.96
2022-04-04,NVDA,26.73,27.36,27.06
2022-04-05,NVDA,27.25,25.93,26.58
2022-04-06,NVDA,24.93,24.41,24.66
2022-04-07,NVDA,24.44,24.21,24.21
2022-04-08,NVDA,23.92,23.12,23.51
2022-04-11,NVDA,22.21,21.92,22.03
2022-04-12,NVDA,22.54,21.5,22.01
2022-04-13,NVDA,21.73,22.2,21.97
2022-04-14,NVDA,22.5,21.26,21.93
2022-04-18,NVDA,21.2,21.78,21.54
2022-04-19,NVDA,21.72,22.2,21.9
2022-04-20,NVDA,22.52,21.48,21.97
2022-04-21,NVDA,21.71,20.18,21.07
2022-04-22,NVDA,20.3,19.51,19.95
2022-04-25,NVDA,19.2,19.9,19.54
2022-04-26,NVDA,19.72,18.79,19.24
2022-04-27,NVDA,18.6,18.42,18.62
2022-04-28,NVDA,18.97,19.78,19.32
2022-04-29,NVDA,19.4,18.55,19.15
2022-05-02,NVDA,18.54,19.53,19.01
2022-05-03,NVDA,19.4,19.6,19.49
2022-05-04,NVDA,19.92,20.33,19.85
2022-05-05,NVDA,19.87,18.84,19.28
2022-05-06,NVDA,18.74,18.67,18.73
2022-05-09,NVDA,18.03,16.95,17.52
2022-05-10,NVDA,17.69,17.59,17.63
2022-05-11,NVDA,17.35,16.63,17.07
2022-05-12,NVDA,16.22,16.17,16.19
2022-05-13,NVDA,16.79,17.71,17.25
2022-05-16,NVDA,17.51,17.26,17.42
2022-05-17,NVDA,18.07,18.18,18.06
2022-05-18,NVDA,17.7,16.94,17.41
2022-05-19,NVDA,16.94,17.12,17.12
2022-05-20,NVDA,17.33,16.69,16.8
2022-05-23,NVDA,16.27,16.9,16.57
2022-05-24,NVDA,16.51,16.15,16.26
2022-05-25,NVDA,16.02,16.98,16.53
2022-05-26,NVDA,16.04,17.85,17.0
2022-05-27,NVDA,18.19,18.81,18.49
2022-05-31,NVDA,18.98,18.67,18.8
2022-06-01,NVDA,18.72,18.32,18.55
2022-06-02,NVDA,18.29,19.59,18.93
2022-06-03,NVDA,19.08,18.72,18.91
2022-06-06,NVDA,19.14,18.79,18.96
2022-06-07,NVDA,18.47,18.93,18.65
2022-06-08,NVDA,18.8,18.65,18.79
2022-06-09,NVDA,18.48,18.05,18.38
2022-06-10,NVDA,17.6,16.97,17.29
2022-06-13,NVDA,16.0,15.65,15.89
2022-06-14,NVDA,15.73,15.84,15.76
2022-06-15,NVDA,16.09,16.53,16.35
2022-06-16,NVDA,15.86,15.6,15.7
2022-06-17,NVDA,15.65,15.88,15.71
2022-06-21,NVDA,16.48,16.57,16.61
2022-06-22,NVDA,16.23,16.36,16.36
2022-06-23,NVDA,16.52,16.23,16.3
2022-06-24,NVDA,16.5,17.13,16.77
2022-06-27,NVDA,17.31,16.87,17.03
2022-06-28,NVDA,16.9,15.98,16.51
2022-06-29,NVDA,15.81,15.54,15.59
2022-06-30,NVDA,15.36,15.16,15.24
2022-07-01,NVDA,14.9,14.52,14.72
2022-07-05,NVDA,14.18,14.96,14.54
2022-07-06,NVDA,15.01,15.13,15.06
2022-07-07,NVDA,15.46,15.86,15.66
2022-07-08,NVDA,15.43,15.84,15.67
2022-07-11,NVDA,15.53,15.15,15.31
2022-07-12,NVDA,15.27,15.08,15.16
2022-07-13,NVDA,14.59,15.16,14.9
2022-07-14,NVDA,15.11,15.37,15.17
2022-07-15,NVDA,15.66,15.76,15.66
2022-07-18,NVDA,16.3,16.1,16.33
2022-07-19,NVDA,16.49,16.99,16.69
2022-07-20,NVDA,16.95,17.81,17.37
2022-07-21,NVDA,17.89,18.05,17.91
2022-07-22,NVDA,17.89,17.32,17.58
2022-07-25,NVDA,17.02,17.02,16.95
2022-07-26,NVDA,16.89,16.53,16.7
2022-07-27,NVDA,17.03,17.79,17.42
2022-07-28,NVDA,17.98,17.98,17.88
2022-07-29,NVDA,17.81,18.16,17.98
2022-08-01,NVDA,18.18,18.44,18.36
2022-08-02,NVDA,18.12,18.53,18.42
2022-08-03,NVDA,18.18,18.89,18.55
2022-08-04,NVDA,18.85,19.22,19.02
2022-08-05,NVDA,18.81,18.99,18.92
2022-08-08,NVDA,17.5,17.79,17.69
2022-08-09,NVDA,17.25,17.09,17.13
2022-08-10,NVDA,17.7,18.1,17.81
2022-08-11,NVDA,18.13,17.94,18.16
2022-08-12,NVDA,18.16,18.71,18.38
2022-08-15,NVDA,18.7,19.03,18.88
2022-08-16,NVDA,18.92,18.88,18.86
2022-08-17,NVDA,18.52,18.33,18.42
2022-08-18,NVDA,18.3,18.77,18.53
2022-08-19,NVDA,18.41,17.85,18.14
2022-08-22,NVDA,17.49,17.03,17.26
2022-08-23,NVDA,16.99,17.18,17.15
2022-08-24,NVDA,17.01,17.22,17.13
2022-08-25,NVDA,16.84,17.91,17.38
2022-08-26,NVDA,17.86,16.26,17.07
2022-08-29,NVDA,16.02,15.8,15.98
2022-08-30,NVDA,15.96,15.47,15.66
2022-08-31,NVDA,15.38,15.09,15.24
2022-09-01,NVDA,14.21,13.94,13.95
2022-09-02,NVDA,14.1,13.65,13.88
2022-09-06,NVDA,13.73,13.47,13.58
2022-09-07,NVDA,13.56,13.71,13.62
2022-09-08,NVDA,13.46,13.99,13.71
2022-09-09,NVDA,14.16,14.39,14.29
2022-09-12,NVDA,14.37,14.51,14.4
2022-09-13,NVDA,13.8,13.13,13.49
2022-09-14,NVDA,13.25,13.13,13.15
2022-09-15,NVDA,13.02,12.93,12.99
2022-09-16,NVDA,12.74,13.2,12.94
2022-09-19,NVDA,13.01,13.38,13.22
2022-09-20,NVDA,13.22,13.18,13.23
2022-09-21,NVDA,13.21,13.26,13.4
2022-09-22,NVDA,13.07,12.56,12.8
2022-09-23,NVDA,12.42,12.52,12.45
2022-09-26,NVDA,12.49,12.23,12.4
2022-09-27,NVDA,12.51,12.41,12.48
2022-09-28,NVDA,12.41,12.74,12.58
2022-09-29,NVDA,12.45,12.22,12.28
2022-09-30,NVDA,12.09,12.14,12.23
2022-10-03,NVDA,12.35,12.51,12.41
2022-10-04,NVDA,12.88,13.17,13.04
2022-10-05,NVDA,12.91,13.21,13.02
2022-10-06,NVDA,13.22,13.13,13.28
2022-10-07,NVDA,12.51,12.08,12.32
